player_id,full_name,position,team,age,weighted_ppg,replacement_level,vorp,dynasty_trailing_value,proj_ppg,proj_vorp,SCR,scr_source,years_exp,dynasty_value,primary_value,primary_value_source
00-0039139,Jahmyr Gibbs,RB,DET,24.5,17.905228758169937,5.395277777777778,12.509950980392158,13.542,18.239,15.391,15.391,projected,3,20.30477595,20.30477595,projected
00-0040122,Ashton Jeanty,RB,LV,22.8,11.447058823529412,5.395277777777778,6.051781045751634,6.86,12.371,9.523,9.523,projected,1,19.24529408,19.24529408,projected
00-0038542,Bijan Robinson,RB,ATL,24.6,17.31264705882353,5.395277777777778,11.917369281045751,12.865,17.011,14.162,14.162,projected,3,19.07920404,19.07920404,projected
00-0040666,Omarion Hampton,RB,LAC,23.5,10.580000000000002,5.395277777777778,5.184722222222224,5.768,12.354,9.505,9.505,projected,1,18.524978750000002,18.524978750000002,projected
00-0040784,Quinshon Judkins,RB,CLE,22.8,10.471428571428572,5.395277777777778,5.076150793650793,5.754,11.027,8.178,8.178,projected,1,16.745722880000002,16.745722880000002,projected
00-0040691,Jaxson Dart,QB,NYG,23.3,17.077142857142857,12.743431372549018,4.333711484593838,4.847,17.727,9.787,9.787,projected,1,15.662046302857142,15.662046302857142,projected
00-0039851,Drake Maye,QB,NE,24.0,17.433956043956044,12.743431372549018,4.690524671407026,5.148,18.58,10.64,10.64,projected,2,15.142290285714285,15.142290285714285,projected
00-0039910,Jayden Daniels,QB,WAS,25.7,17.971285714285713,12.743431372549018,5.227854341736695,5.471,18.475,10.534,10.534,projected,2,15.046924194285715,15.046924194285715,projected
00-0040734,TreVeyon Henderson,RB,NE,23.9,8.861904761904762,5.395277777777778,3.466626984126984,3.815,9.449,6.601,6.601,projected,1,14.85392063,14.85392063,projected
00-0040715,Cam Skattebo,RB,NYG,24.6,13.287500000000001,5.395277777777778,7.892222222222223,8.52,11.568,8.72,8.72,projected,1,14.563662399999998,14.563662399999998,projected
00-0039040,De'Von Achane,RB,MIA,24.9,15.303529411764703,5.395277777777778,9.908251633986925,10.607,13.81,10.962,10.962,projected,3,14.375901460000001,14.375901460000001,projected
00-0039918,Caleb Williams,QB,CHI,24.8,17.036009287925694,12.743431372549018,4.292577915376675,4.608,17.367,9.427,9.427,projected,2,13.959465302857144,13.959465302857144,projected
00-0040719,Bhayshul Tuten,RB,JAX,24.5,5.231250000000001,5.395277777777778,-0.16402777777777722,-0.164,10.899,8.051,8.051,projected,1,13.929112950000002,13.929112950000002,projected
00-0040743,Tyler Shough,QB,NO,26.9,14.387272727272729,12.743431372549018,1.64384135472371,1.661,16.295,8.355,8.355,projected,1,13.847015914285713,13.847015914285713,projected
00-0034857,Josh Allen,QB,BUF,30.3,22.911608187134505,12.743431372549018,10.168176814585486,9.238,21.382,13.442,13.442,projected,8,13.44038696,13.44038696,projected
00-0039732,Bo Nix,QB,DEN,26.5,18.209777777777777,12.743431372549018,5.466346405228759,5.589,17.0,9.06,9.06,projected,2,13.396001142857143,13.396001142857143,projected
00-0037248,James Cook,RB,BUF,26.9,15.147368421052633,5.395277777777778,9.752090643274855,9.854,14.303,11.455,11.455,projected,4,13.01587715,13.01587715,projected
00-0036223,Jonathan Taylor,RB,IND,27.6,17.926617647058826,5.395277777777778,12.531339869281048,12.4,16.074,13.226,13.226,projected,6,12.79641952,12.79641952,projected
00-0039361,Bucky Irving,RB,TB,24.0,11.439722222222224,5.395277777777778,6.044444444444446,6.634,10.875,8.026,8.026,projected,2,12.0197756,12.0197756,projected
00-0038134,Kenneth Walker III,RB,SEA,25.9,11.878363636363638,5.395277777777778,6.483085858585859,6.746,12.883,10.034,10.034,projected,4,12.019409020000001,12.019409020000001,projected
00-0038597,Chase Brown,RB,CIN,26.5,12.683125,5.395277777777778,7.287847222222222,7.452,13.066,10.217,10.217,projected,3,11.88577745,11.88577745,projected
00-0040676,Cam Ward,QB,TEN,24.3,10.803529411764705,12.743431372549018,-1.9399019607843133,-1.94,13.284,5.344,5.344,projected,1,11.797612891428571,11.797612891428571,projected
00-0033280,Christian McCaffrey,RB,SF,30.2,15.067302631578949,5.395277777777778,9.67202485380117,8.816,15.594,12.746,12.746,projected,9,11.65927604,11.65927604,projected
00-0039344,Jonathon Brooks,RB,CAR,23.1,1.6000000000000003,5.395277777777778,-3.7952777777777778,-3.795,8.373,5.524,5.524,projected,2,11.61207788,11.61207788,projected
00-0040730,RJ Harvey,RB,DEN,25.6,9.352631578947367,5.395277777777778,3.957353801169589,4.153,7.143,4.295,4.295,projected,1,11.521875399999999,11.521875399999999,projected
00-0038120,Breece Hall,RB,NYJ,25.3,11.179937500000001,5.395277777777778,5.784659722222223,6.123,12.086,9.238,9.238,projected,4,11.37839198,11.37839198,projected
00-0034796,Lamar Jackson,QB,BAL,29.7,19.187157894736842,12.743431372549018,6.4437265221878235,5.97,18.79,10.85,10.85,projected,8,10.851301999999999,10.851301999999999,projected
